Marca temporal,"Nombre de la institución:
colocar preferentemente en mayúsculas.","Dirección:
colocar preferentemente en mayúsculas.","Localidad:
colocar preferentemente en mayúsculas.","Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,Sitio web institucional:
23/06/2026 10:16:12,INSTITUTO SUPERIOR JUAN 23,VIEYTES 286,BAHÍA BLANCA,TECNICATURA SUPERIOR EN MARKETING,BAHÍA BLANCA,3 (AÑOS),6 (SEIS),Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://www.juan23.edu.ar/carreras/tecnicatura-superior-en-marketing/,Si,TECNICATURA SUPERIOR EN GESTIÓN AMBIENTAL Y SALUD. ,BAHÍA BLANCA,3 (TRES),6 (SEIS),Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS AMBIENTALES,No,: https://www.juan23.edu.ar/carreras/tecnicatura-en-gestion-ambiental-y-salud/,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.juan23.edu.ar
23/06/2026 10:19:30,UNIVERSIDAD EMPRESARIAL SIGLO 21,ALVARADO 328,BAHIA BLANCA,TECNICATURA EN DIRECCION DE EQUIPOS DE VENTA,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-direccion-de-equipos-de-ventas,Si,"TECNICATURA EN PROTOCOLO, ORGANIZACION DE EVENTOS Y RELACIONES PUBLICAS",BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-direccion-de-protocolo-organizacion-de-eventos-y-rrpp,Si,TECNICATURA EN GESTION CONTABLE E IMPOSITIVA,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS EXACTAS,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-gestion-contable-e-impositiva,Si,TECNICATURA EN GESTION DE EMPRESAS FAMILIARES,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-gestion-de-empresas-familiares,Si,TECNICATURA EN GESTION DE MODA,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",ARQUITECTURA Y DISEÑO,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-gestion-de-moda,Si,TECNICATURA EN HIGIENE Y SEGURIDAD LABORAL,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS AMBIENTALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-higiene-y-seguridad-laboral,Si,TECNICATURA EN INVESTIGACION DE LA ESCENA DEL CRIMEN,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-investigacion-de-la-escena-del-crimen,Si,TECNICATURA EN RELACIONES LABORALES,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-relaciones-laborales,Si,TEC. UNIVERSITARIA EN ADMINISTRACION Y GESTION DE POLITICAS PUBLICAS,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-universitaria-en-administracion-publica-y-gestion-de-politicas-publicas,Si,TEC. UNIVERSITARIA EN DISEÑO Y ANIMACION DIGITAL,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",TECNOLÓGICAS,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-universitaria-en-diseno-y-animacion-digital,Si,https://21.edu.ar/
23/06/2026 10:56:23,UNIVERSIDAD SIGLO 21,ALVARADO 328,BAHIA BLANCA,TEC. UNIVERSITARIA EN GESTION ADMINISTRATIVA DE SERVICIOS DE SALUD,BAHIA BLANCA, 2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-universitaria-en-gestion-administrativa-de-servicios-de-salud,Si,TEC. UNIVERSITARIA EN GESTION DE RECURSOS TURISTICOS,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-universitaria-en-gestion-de-recursos-turisticos,Si,TEC. EN GESTION Y AUDITORIAS AMBIENTALES,bahia blanca,2 añosy medio,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS AMBIENTALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-gestion-y-auditorias-ambientales,Si,"TEC. UNIV, EN HIDROCARBUROS Y GEOCIENCIA",BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS AMBIENTALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-en-hidrocarburos-y-geociencia,Si,TECNICATURA UNIVERSITARIA EN MARKETING Y PUBLICIDAD DIGITAL,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-universitaria-en-marketing-y-publicidad-digital,Si,TECNICATURA EN PROMOCION COMUNITARIA EN NIÑEZ Y ADOLESCENCIA,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-universitaria-en-promoci%C3%B3n-comunitaria-en-ni%C3%B1ez-y-adolescencia,Si,TECNICATURA EN REDES INFORMATICAS Y TELECOMUNICACIONES,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-universitaria-en-redes-informaticas-y-telecomunicaciones,Si,"TEC. UNIV, EN DISEÑO Y DESARROLLO DE VIDEOJUEGOS",BAHIA BLANCA,2 AÑOS Y MEDIO ,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",TECNOLÓGICAS,Si,https://21.edu.ar/carreras-y-programas/tecnicatura-universitaria-en-diseno-y-desarrollo-de-videojuegos,Si,ESCRIBANIA,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS EXACTAS,Si,https://21.edu.ar/carreras-y-programas/escribania,Si,LICENCIATURA EN EDUCACION,BAHIA BLANCA,2 AÑOSY MEDIO ,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-educacion,Si,https://21.edu.ar/
23/06/2026 11:02:35,UNIVERSIDAD SIGLO 21,ALVARADO 338,BAHIA BLANCA,PROFESORADO UNIVERSITARIO PARA EL NIVEL SECUNDARIO Y SUPERIOR,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/profesorado-universitario-para-el-nivel-secundario-y-superior,Si,LIC EN DESARROLLOS Y NEGOCIOS INMOBILIARIOS,BAHIA BLANCA,2 AÑOS Y MEDIO,5,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-desarrollo-de-negocios-inmobiliarios,Si,LIC. EM ADMINISTRACION DE SERVICIOS DE SALUD,BAHIA BLANCA,2 AÑOS ,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS DE LA SALUD,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-administracion-de-servicios-de-salud,Si,LIC EN PSICOPEDAGOGIA,BAHIA BLANCA,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS DE LA SALUD,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-psicopedagogia-ccc,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://21.edu.ar/
23/06/2026 11:22:46,INSTITUTO TECNICO SUPERIOR,ALVARADO 328,BAHIA BLANCA,CARRERA DE PROGRAMACION,BAHIA BLANCA,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",TECNOLÓGICAS,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-programacion/,Si,CARRERA DE DATA SCIENCE,BAHIA BLANCA,2 AÑOS ,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",TECNOLÓGICAS,Si,https://teclab.edu.ar/carrera/carrera-de-data-science/,Si,CARRERA DE QUALITY ASSURENCE,BAHIA BLANCA,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-quality-assurance/,Si,CARRERA DE CLOUD ADMINISTRATION,bahia blanca,2 AÑOS ,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-en-cloud-administration/,Si,Carrera de Seguridad Informática,BAHIA BLANCA,2 AÑOS ,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-en-seguridad-informatica/,Si,Carrera de Redes Informáticas,BAHIA BLANCA,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-redes-informaticas/,Si,Carrera de Relaciones Laborales,BAHIA BLANCA,2 AÑOS ,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-relaciones-laborales/,Si,Carrera de Customer Experience,BAHIA BLANCA ,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-customer-experience/,Si,Carrera de Seguros,BAHIA BLANCA,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-seguros/,Si,Carrera de Inbound Marketing,BAHIA BLANCA,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-inbound-marketing/,Si,https://teclab.edu.ar/
23/06/2026 11:40:29,INSTITUTO TECNOLOGICO SUPERIOR,ALVARADO 328,BAHIA BLANCA,Carrera de Gestión Contable,BAHIA BLANCA,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-gestion-contable/,Si,Carrera de Periodismo y Nuevas Tecnologías,bahia blanca,2 años y medio,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-periodismo-y-nuevas-tecnologias/,Si,Carrera de Gestión Hotelera,BAHIA BLANCA,2 AÑOS ,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-gestion-hotelera/,Si,Carrera de Marketing Digital,BAHIA BLANCA,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-marketing-digital/,Si,Carrera de Gestión Agraria,BAHIA BLANCA,2 AÑOS,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://teclab.edu.ar/carrera/tecnico-superior-gestion-empresa-agraria/,Si,Carrera de Planificación y Organización de Eventos,BAHIA BLANCA,2 AÑOS Y MEDIO,4,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://teclab.edu.ar/carrera/tecnico-superior-en-planificacion-y-organizacion-de-eventos/,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://teclab.edu.ar/
23/06/2026 12:22:02,UCALP,BROWN 474,BAHIA BLANCA,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS DE LA SALUD,Si,https://www.ucalp.edu.ar/carrera/licenciatura-en-kinesiologia-y-fisiatria/,Si,LICENCIATURA EN NUTRICIÓN,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS DE LA SALUD,Si,https://www.ucalp.edu.ar/carrera/licenciatura-en-nutricion/,Si,LICENCIATURA EN TERAPIA OCUPACIONAL,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS DE LA SALUD,Si,https://www.ucalp.edu.ar/carrera/licenciatura-en-terapia-ocupacional/,Si,LICENCIATURA EN FONOAUDIOLOGÍA,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS DE LA SALUD,Si,https://www.ucalp.edu.ar/carrera/lic-en-fonoaudiologia/,Si,LICENCIATURA EN CRIMINALÍSTICA,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,SEGURIDAD PÚBLICA,Si,https://www.ucalp.edu.ar/carrera/criminalistica/,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ucalp.edu.ar/sede/bahia-blanca/
24/06/2026 9:03:24,UNISAL,GORRITI 1249,BAHIA BLANCA ,ABOGACÍA ,BAHÍA BLANCA ,5 AÑOS,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,https://www.unisal.edu.ar/carreras/abogacia/,Si,LICENCIATURA EN PSICOLOGÍA ,BAHIA BLANCA ,5 AÑOS,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,https://www.unisal.edu.ar/carreras/licenciatura-en-psicologia/,Si,LICENCIATURA EN COMUNICACIÓN ,BAHÍA BLANCA ,5 AÑOS,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,https://www.unisal.edu.ar/ciencias-sociales/,Si,TECNICATURA UNIVERSITARIA EN COMUNICACIÓN DIGITAL,BAHÍA BLANCA,3 AÑOS,6,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,https://www.unisal.edu.ar/ciencias-sociales/,Si,LICENCIATURA EN EDUCACIÓN CICLO DE COMPLEMENTACIÓN CURRICULAR,BAHIA BLANCA,3 CUATRIMESTRES,3,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://www.unisal.edu.ar/distancia/,Si,LICENCIATURA EN PSICOPEDAGOGÍA CICLO DE COMPLEMENTACIÓN CURRICULAR,BAHÍA BLANCA,3 CUATRIMESTRES,3 CUATRIMESTRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://www.unisal.edu.ar/distancia/,Si,LICENCIATURA EN TRABAJO SOCIAL CICLO DE COMPLEMENTACIÓN CURRICULAR,BAHÍA BLANCA,3 CUATRIMESTRES,3,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://www.unisal.edu.ar/distancia/,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,www.unisal.edu.ar
24/06/2026 19:15:51,DEPARTAMENTO DE CIENCIAS E INGENIERIA DE LA COMPUTACION ,SAN ANDRES 800 - CAMPUS PALIHUE,BAHIA BLANCA,INGENIERIA EN COMPUTACION,BAHIA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,SISTEMAS E INFORMÁTICA,No,https://cs.uns.edu.ar/~mll/web/mic/index.html,Si,LICENCIATURA EN CIENCIAS DE LA COMPUTACION,BAHIA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,SISTEMAS E INFORMÁTICA,No,https://cs.uns.edu.ar/~mll/web/mic/index.html,Si,INGENIERIA EN SISTEMAS DE INFORMACION,BAHIA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,SISTEMAS E INFORMÁTICA,No,https://cs.uns.edu.ar/~mll/web/mic/index.html,Si,TECNICATURA UNIVERSITARIA EN PROGRAMACION WEB Y MOVIL,BAHIA BLANCA,2 Y MEDIO,5,Modalidad presencial (sin separación en tiempo y espacio).,SISTEMAS E INFORMÁTICA,No,https://cs.uns.edu.ar/~mll/web/mic/index.html,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cs.uns.edu.ar/~devcs/
28/06/2026 20:27:29,ISFD N3,Moreno 94,BAHÍA BLANCA,PROFESORADO DE EDUCACIÓN INICIAL,BAHIA BLANCA,4 años,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,isfd3-bue.infd.edu.a,Si,PROFESORADO DE EDUCACIÓN PRIMARIA,BAHÍA BLANCA,4 AÑOS,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,isfd3-bue.infd.edu.a,Si,PROFESORADO DE EDUCACIÓN ESPECIAL,BAHIA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,isfd3-bue.infd.edu.ar,Si,PROFESORADO DE EDUCACIÓN SECUNDARIA EN BIOLOGÍA,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,isfd3-bue.infd.edu.ar,Si,PROFESORADO DE EDUCACIÓN SECUNDARIA EN CIENCIA POLÍTICA,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,isfd3-bue.infd.edu.ar,Si,PROFESORADO DE EDUCACIÓN SECUNDARIA EN HISTOIRA,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,isfd3-bue.infd.edu.ar,Si,PROFESORADO DE EDUCACIÓN EN INGLÉS,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,isfd3-bue.infd.edu.ar,Si,PROFESORADO DE EDUCACIÓN SECUNDARIA EN LENGUA Y LITERATURA,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,isfd3-bue.infd.edu.ar,Si,PROFESORADO DE EDUCACIÓN SECUNDARIA EN MATEMÁTICA,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,isfd3-bue.infd.edu.ar,"No, finalizar y enviar",,,,,,,,,,isfd3-bue.infd.edu.ar
29/06/2026 9:31:13,DEPARTAMENTO DE QUÍMICA-UNIVERSIDAD NACIONAL DEL SUR,AV. ALEM 1253,BAHÍA BLANCA,LICENCIATURA EN CIENCIAS AMBIENTALES,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS AMBIENTALES,No,https://sites.google.com/view/quimica-muestradecarreras/inicio,Si,LICENCIATURA EN QUÍMICA,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS EXACTAS,No,https://sites.google.com/view/quimica-muestradecarreras/inicio,Si,PROFESORADO EN QUÍMICA,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS EXACTAS,No,https://sites.google.com/view/quimica-muestradecarreras/inicio,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.quimica.uns.edu.ar/
29/06/2026 14:08:26,DEPARTAMENTO DE FÍSICA - UNS,ALEM 1253,BAHÍA BLANCA,LICENCIATURA EN FÍSICA,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS EXACTAS,No,https://fisica.uns.edu.ar/academico-carreras-de-grado,Si,PROFESORADO EN FÍSICA,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS EXACTAS,No,https://fisica.uns.edu.ar/academico-carreras-de-grado,Si,TECNICATURA UNIVERSITARIA EN ÓPTICA,BAHÍA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS EXACTAS,No,https://fisica.uns.edu.ar/academico-carreras-de-grado,Si,LICENCIATURA EN ÓPTICA Y CONTACTOLOGÍA,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS DE LA SALUD,No,https://fisica.uns.edu.ar/academico-carreras-de-grado,Si,LICENCIATURA EN GEOFÍSICA,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS EXACTAS,No,https://fisica.uns.edu.ar/academico-carreras-de-grado,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fisica.uns.edu.ar/
